Q1,性别,单选题
,本题选项:,
,1,男
,2,女
Q2,您所在的城市是,下拉填空题
,本题选项:,
,1,省份
,2,城市
,3,区/县
Q3,工作年限,单选题
,本题选项:,
,1,1年及以下
,2,2-3年
,3,4-5年
,4,6-9年
,5,10年及以上
Q4,个人月收入,单选题
,本题选项:,
,1,2000元及以下
,2,2001-3000元
,3,3001-5000元
,4,5001-8000元
,5,8001-12000元
,6,12001-20000元
,7,20000元以上
Q5,基础设施建设,单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q6,"生态环境(包括城市绿化,城市景观生态文明等)",单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q7,治安环境,单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q8,产业发展,单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q9,企业条件,单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q10,职业发展,单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q11,收入水平,单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q12,住房条件,单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q13,户籍政策,单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q14,配偶就业,单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q15,子女教育,单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q16,生活成本,单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q17,交通状态,单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q18,休闲娱乐,单选题
,本题选项:,
,1,非常能够
,2,比较能够
,3,一般
,4,不能够
Q19,请问您的主要职业或者毕业之后将要成为的主要职业是什么？,单选题
,本题选项:,
,1,管理人员
,2,技术研发人才
,3,技工人才
,4,教育科研
,5,销售人才
,6,金融从业者
,7,医疗
,8,服务售后
,9,其他
Q20,请问你觉得济南这座城市对您是否有吸引力呢？,单选题
,本题选项:,
,1,不二选择
,2,有较强的吸引力
,3,一般
,4,不作考虑
,5,很不喜欢
