学历,招聘人数,年收入
硕士,1,65
本科,2,35
博士,2,40
博士,1,18
不限,3,10
博士,3,25
博士,3,25
博士,2,25
博士,2,25
博士,1,25
硕士,1,10
博士,2,100
硕士,1,35
不限,10,13.8
不限,1,13.8
不限,3,24
不限,3,3.6
不限,1,18
不限,3,24
不限,1,10
不限,1,75
博士,1,35
硕士,1,10
硕士,1,10
博士,1,10
不限,1,18
不限,1,10
不限,1,10
不限,1,10
硕士,5,10
不限,1,10
不限,1,10
不限,5,10.8
博士,1,40
博士,1,40
博士,1,5
硕士,1,20
不限,2,18
硕士,1,60
硕士,3,60
硕士,6,3.6
硕士,4,3.6
硕士,4,3.6
硕士,2,3.6
硕士,1,3.6
博士,10,10
硕士,1,6
硕士,1,6
硕士,1,9.6
不限,2,23
硕士,1,17.5
博士,3,24
博士,6,12
博士,5,19.5
博士,6,10
博士,1,27.5
博士,1,27.5
博士,3,27.5
博士,1,27.5
博士,1,27.5
博士,3,27.5
博士,1,32
博士,3,27.5
