Time,HP
2013-05,7578
2013-06,7649
2013-07,7527
2013-08,7305
2013-09,7475
2013-10,7492
2013-11,7454
2013-12,7437
2014-01,7528
2014-02,7433
2014-03,7382
2014-04,7399
2014-05,7492
2014-06,7663
2014-07,7542
2014-08,7312
2014-09,7389
2014-10,7348
2014-11,7409
2014-12,7234
2015-01,7315
2015-02,7395
2015-03,7317
2015-04,7268
2015-05,7459
2015-06,7499
2015-07,7554
2015-08,7440
2015-09,7354
2015-10,7326
2015-11,7267
2015-12,7237
2016-01,7549
2016-02,7465
2016-03,7513
2016-04,7744
2016-05,7654
2016-06,7661
2016-07,7655
2016-08,7729
2016-09,7926
2016-10,7901
2016-11,7923
2016-12,7920
2017-01,8154
2017-02,8224
2017-03,8610
2017-04,9421
2017-05,9800
2017-06,10312
2017-07,11221
2017-08,11628
2017-09,12175
2017-10,12537
2017-11,12367
2017-12,12851
2018-01,13173
2018-02,13441
2018-03,13598
2018-04,14435
2018-05,14791
